row_rank,col_rank,parent_a,parent_b,empirical_role_a,empirical_role_b,n_nonempty_channels,n_parent_a_channels,n_parent_b_channels,n_both_channels,prevalence_a,prevalence_b,joint_prevalence,conditional_b_given_a,conditional_a_given_b,jaccard,lift_vs_independence
2,3,Entertainment,Music,empirical_parent,empirical_parent,197664,68261,43599,10116,0.3453385543143921,0.2205712724623603,0.0511777561923263,0.1481958951670793,0.2320236702676666,0.0994260103789904,0.6718730572330918
2,4,Entertainment,Video_game_culture,empirical_parent,empirical_parent,197664,68261,24436,3190,0.3453385543143921,0.1236239274728832,0.0161384976525821,0.0467323947788634,0.1305450973972827,0.0356396706402851,0.3780206286450021
2,5,Entertainment,Pop_music,empirical_parent,intermediate_or_crosscutting_parent,197664,68261,20419,2652,0.3453385543143921,0.1033015622470455,0.013416707139388,0.0388508811766601,0.1298790342328223,0.0308271725484725,0.3760919034675232
2,6,Entertainment,Action_game,empirical_parent,intermediate_or_crosscutting_parent,197664,68261,15525,783,0.3453385543143921,0.0785423749392909,0.0039612676056338,0.0114706787184483,0.0504347826086956,0.0094333939737117,0.1460444597876564
2,7,Entertainment,Role-playing_video_game,empirical_parent,intermediate_or_crosscutting_parent,197664,68261,14984,556,0.3453385543143921,0.0758054071555771,0.0028128541363121,0.0081452073658457,0.0371062466631073,0.0067239898898281,0.107448896740693
2,8,Entertainment,Sport,empirical_parent,empirical_parent,197664,68261,7377,1072,0.3453385543143921,0.0373209082078678,0.0054233446656953,0.0157044285902638,0.1453165243323844,0.014376525494193,0.4207943842843855
2,9,Entertainment,Vehicle,empirical_parent,intermediate_or_crosscutting_parent,197664,68261,6008,432,0.3453385543143921,0.0303950137607252,0.0021855269548324,0.0063286503274197,0.0719041278295605,0.0058507252461503,0.2082134384685584
3,1,Music,Lifestyle_(sociology),empirical_parent,empirical_parent,197664,43599,95264,8660,0.2205712724623603,0.4819491662619394,0.0438117209001133,0.1986284089084612,0.0909052737655357,0.0665115243120358,0.4121356002108045
3,2,Music,Entertainment,empirical_parent,empirical_parent,197664,43599,68261,10116,0.2205712724623603,0.3453385543143921,0.0511777561923263,0.2320236702676666,0.1481958951670793,0.0994260103789904,0.6718730572330918
3,3,Music,Music,empirical_parent,empirical_parent,197664,43599,43599,43599,0.2205712724623603,0.2205712724623603,0.2205712724623603,1.0,1.0,1.0,4.533681965182688
3,4,Music,Video_game_culture,empirical_parent,empirical_parent,197664,43599,24436,535,0.2205712724623603,0.1236239274728832,0.0027066132426744,0.0122709236450377,0.0218939269929612,0.0079259259259259,0.0992601019550146
3,5,Music,Pop_music,empirical_parent,intermediate_or_crosscutting_parent,197664,43599,20419,20324,0.2205712724623603,0.1033015622470455,0.1028209486805892,0.4661574806761623,0.995347470493168,0.465143955691857,4.5125888760650845
3,6,Music,Action_game,empirical_parent,intermediate_or_crosscutting_parent,197664,43599,15525,179,0.2205712724623603,0.0785423749392909,0.0009055771410069612,0.0041055987522649,0.0115297906602254,0.0030367291542963,0.0522724039785958
3,7,Music,Role-playing_video_game,empirical_parent,intermediate_or_crosscutting_parent,197664,43599,14984,130,0.2205712724623603,0.0758054071555771,0.0006576817225190222,0.0029817197642147,0.0086759209823812,0.0022240090328982,0.0393338664891717
3,8,Music,Sport,empirical_parent,empirical_parent,197664,43599,7377,140,0.2205712724623603,0.0373209082078678,0.0007082726242512547,0.0032110828230005,0.0189779042971397,0.0027539538909434,0.0860397824489055
3,9,Music,Vehicle,empirical_parent,intermediate_or_crosscutting_parent,197664,43599,6008,90,0.2205712724623603,0.0303950137607252,0.00045531811559009226,0.0020642675290717,0.0149800266311584,0.0018175576064785,0.0679146765756394
4,1,Video_game_culture,Lifestyle_(sociology),empirical_parent,empirical_parent,197664,24436,95264,2566,0.1236239274728832,0.4819491662619394,0.0129816253844908,0.1050090031101653,0.0269356734968088,0.0219065343965031,0.2178839812601582
4,2,Video_game_culture,Entertainment,empirical_parent,empirical_parent,197664,24436,68261,3190,0.1236239274728832,0.3453385543143921,0.0161384976525821,0.1305450973972827,0.0467323947788634,0.0356396706402851,0.3780206286450021
4,3,Video_game_culture,Music,empirical_parent,empirical_parent,197664,24436,43599,535,0.1236239274728832,0.2205712724623603,0.0027066132426744,0.0218939269929612,0.0122709236450377,0.0079259259259259,0.0992601019550146
4,4,Video_game_culture,Video_game_culture,empirical_parent,empirical_parent,197664,24436,24436,24436,0.1236239274728832,0.1236239274728832,0.1236239274728832,1.0,1.0,1.0,8.089048944180718
4,5,Video_game_culture,Pop_music,empirical_parent,intermediate_or_crosscutting_parent,197664,24436,20419,101,0.1236239274728832,0.1033015622470455,0.000510968107495548,0.0041332460304468,0.0049463734756844,0.0022567815167359,0.0400114571410084
4,6,Video_game_culture,Action_game,empirical_parent,intermediate_or_crosscutting_parent,197664,24436,15525,15513,0.1236239274728832,0.0785423749392909,0.0784816658572122,0.6348420363398265,0.9992270531400966,0.6345304319371727,8.082796539199707
4,7,Video_game_culture,Role-playing_video_game,empirical_parent,intermediate_or_crosscutting_parent,197664,24436,14984,14980,0.1236239274728832,0.0758054071555771,0.0757851707948842,0.6130299558029138,0.9997330485851575,0.6129296235679215,8.086889561120339
4,8,Video_game_culture,Sport,empirical_parent,empirical_parent,197664,24436,7377,200,0.1236239274728832,0.0373209082078678,0.0010118180346446,0.0081846456048453,0.0271112918530567,0.0063265112453737,0.2193045667393444
4,9,Video_game_culture,Vehicle,empirical_parent,intermediate_or_crosscutting_parent,197664,24436,6008,182,0.1236239274728832,0.0303950137607252,0.000920754411526631,0.0074480275004092,0.0302929427430093,0.0060141431498248,0.2450410965114664
5,1,Pop_music,Lifestyle_(sociology),intermediate_or_crosscutting_parent,empirical_parent,197664,20419,95264,2375,0.1033015622470455,0.4819491662619394,0.0120153391614052,0.1163132376707968,0.0249307188444743,0.0209605676562996,0.241339223746225
5,2,Pop_music,Entertainment,intermediate_or_crosscutting_parent,empirical_parent,197664,20419,68261,2652,0.1033015622470455,0.3453385543143921,0.013416707139388,0.1298790342328223,0.0388508811766601,0.0308271725484725,0.3760919034675232
5,3,Pop_music,Music,intermediate_or_crosscutting_parent,empirical_parent,197664,20419,43599,20324,0.1033015622470455,0.2205712724623603,0.1028209486805892,0.995347470493168,0.4661574806761623,0.465143955691857,4.5125888760650845
5,4,Pop_music,Video_game_culture,intermediate_or_crosscutting_parent,empirical_parent,197664,20419,24436,101,0.1033015622470455,0.1236239274728832,0.000510968107495548,0.0049463734756844,0.0041332460304468,0.0022567815167359,0.0400114571410084
5,5,Pop_music,Pop_music,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,20419,20419,20419,0.1033015622470455,0.1033015622470455,0.1033015622470455,1.0,1.0,1.0,9.680395709878054
5,6,Pop_music,Action_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,20419,15525,35,0.1033015622470455,0.0785423749392909,0.0001770681560628137,0.0017140898183064,0.0022544283413848,0.0009746860118633212,0.0218237584441695
5,7,Pop_music,Role-playing_video_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,20419,14984,24,0.1033015622470455,0.0758054071555771,0.00012141816415735794,0.0011753758754101,0.0016017084890549,0.0006783685237005003,0.0155051719859232
5,8,Pop_music,Sport,intermediate_or_crosscutting_parent,empirical_parent,197664,20419,7377,22,0.1033015622470455,0.0373209082078678,0.00011129998381091145,0.0010774278857926,0.0029822421038362,0.0007921077266508245,0.0288692836677941
5,9,Pop_music,Vehicle,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,20419,6008,9,0.1033015622470455,0.0303950137607252,4.5531811559009226e-05,0.00044076595327880894,0.0014980026631158,0.00034067681126504656,0.0145012585534125
6,1,Action_game,Lifestyle_(sociology),intermediate_or_crosscutting_parent,empirical_parent,197664,15525,95264,603,0.0785423749392909,0.4819491662619394,0.0030506313744536,0.0388405797101449,0.0063297783003023,0.0054725645726317,0.0805906150048925
6,2,Action_game,Entertainment,intermediate_or_crosscutting_parent,empirical_parent,197664,15525,68261,783,0.0785423749392909,0.3453385543143921,0.0039612676056338,0.0504347826086956,0.0114706787184483,0.0094333939737117,0.1460444597876564
6,3,Action_game,Music,intermediate_or_crosscutting_parent,empirical_parent,197664,15525,43599,179,0.0785423749392909,0.2205712724623603,0.0009055771410069612,0.0115297906602254,0.0041055987522649,0.0030367291542963,0.0522724039785958
6,4,Action_game,Video_game_culture,intermediate_or_crosscutting_parent,empirical_parent,197664,15525,24436,15513,0.0785423749392909,0.1236239274728832,0.0784816658572122,0.9992270531400966,0.6348420363398265,0.6345304319371727,8.082796539199707
6,5,Action_game,Pop_music,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,15525,20419,35,0.0785423749392909,0.1033015622470455,0.0001770681560628137,0.0022544283413848,0.0017140898183064,0.0009746860118633212,0.0218237584441695
6,6,Action_game,Action_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,15525,15525,15525,0.0785423749392909,0.0785423749392909,0.0785423749392909,1.0,1.0,1.0,12.731980676328504
6,7,Action_game,Role-playing_video_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,15525,14984,12373,0.0785423749392909,0.0758054071555771,0.0625961227132912,0.7969726247987118,0.825747463961559,0.6822342302602559,10.513400754685836
6,8,Action_game,Sport,intermediate_or_crosscutting_parent,empirical_parent,197664,15525,7377,18,0.0785423749392909,0.0373209082078678,9.106362311801844e-05,0.001159420289855,0.0024400162667751,0.0007865757734661773,0.0310662399585079
6,9,Action_game,Vehicle,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,15525,6008,39,0.0785423749392909,0.0303950137607252,0.00019730451675570665,0.0025120772946859,0.0064913448735019,0.0018144598492602,0.0826476774928115
7,1,Role-playing_video_game,Lifestyle_(sociology),intermediate_or_crosscutting_parent,empirical_parent,197664,14984,95264,471,0.0758054071555771,0.4819491662619394,0.0023828314715881,0.0314335290977042,0.0049441551897883,0.0042905162283538,0.0652216692094454
7,2,Role-playing_video_game,Entertainment,intermediate_or_crosscutting_parent,empirical_parent,197664,14984,68261,556,0.0758054071555771,0.3453385543143921,0.0028128541363121,0.0371062466631073,0.0081452073658457,0.0067239898898281,0.107448896740693
7,3,Role-playing_video_game,Music,intermediate_or_crosscutting_parent,empirical_parent,197664,14984,43599,130,0.0758054071555771,0.2205712724623603,0.0006576817225190222,0.0086759209823812,0.0029817197642147,0.0022240090328982,0.0393338664891717
7,4,Role-playing_video_game,Video_game_culture,intermediate_or_crosscutting_parent,empirical_parent,197664,14984,24436,14980,0.0758054071555771,0.1236239274728832,0.0757851707948842,0.9997330485851575,0.6130299558029138,0.6129296235679215,8.086889561120339
7,5,Role-playing_video_game,Pop_music,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,14984,20419,24,0.0758054071555771,0.1033015622470455,0.00012141816415735794,0.0016017084890549,0.0011753758754101,0.0006783685237005003,0.0155051719859232
7,6,Role-playing_video_game,Action_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,14984,15525,12373,0.0758054071555771,0.0785423749392909,0.0625961227132912,0.825747463961559,0.7969726247987118,0.6822342302602559,10.513400754685836
7,7,Role-playing_video_game,Role-playing_video_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,14984,14984,14984,0.0758054071555771,0.0758054071555771,0.0758054071555771,1.0,1.0,1.0,13.191671115856916
7,8,Role-playing_video_game,Sport,intermediate_or_crosscutting_parent,empirical_parent,197664,14984,7377,10,0.0758054071555771,0.0373209082078678,5.059090173223248e-05,0.0006673785371062467,0.0013555645926528,0.00044740727484228894,0.0178821622825768
7,9,Role-playing_video_game,Vehicle,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,14984,6008,30,0.0758054071555771,0.0303950137607252,0.00015177270519669742,0.0020021356113187,0.0049933422103861,0.0014311611487453,0.0658705282083401
8,1,Sport,Lifestyle_(sociology),empirical_parent,empirical_parent,197664,7377,95264,3686,0.0373209082078678,0.4819491662619394,0.0186478063785008,0.4996611088518368,0.0386924756466241,0.0372492547117376,1.0367506447355714
8,2,Sport,Entertainment,empirical_parent,empirical_parent,197664,7377,68261,1072,0.0373209082078678,0.3453385543143921,0.0054233446656953,0.1453165243323844,0.0157044285902638,0.014376525494193,0.4207943842843855
8,3,Sport,Music,empirical_parent,empirical_parent,197664,7377,43599,140,0.0373209082078678,0.2205712724623603,0.0007082726242512547,0.0189779042971397,0.0032110828230005,0.0027539538909434,0.0860397824489055
8,4,Sport,Video_game_culture,empirical_parent,empirical_parent,197664,7377,24436,200,0.0373209082078678,0.1236239274728832,0.0010118180346446,0.0271112918530567,0.0081846456048453,0.0063265112453737,0.2193045667393444
8,5,Sport,Pop_music,empirical_parent,intermediate_or_crosscutting_parent,197664,7377,20419,22,0.0373209082078678,0.1033015622470455,0.00011129998381091145,0.0029822421038362,0.0010774278857926,0.0007921077266508245,0.0288692836677941
8,6,Sport,Action_game,empirical_parent,intermediate_or_crosscutting_parent,197664,7377,15525,18,0.0373209082078678,0.0785423749392909,9.106362311801844e-05,0.0024400162667751,0.001159420289855,0.0007865757734661773,0.0310662399585079
8,7,Sport,Role-playing_video_game,empirical_parent,intermediate_or_crosscutting_parent,197664,7377,14984,10,0.0373209082078678,0.0758054071555771,5.059090173223248e-05,0.0013555645926528,0.0006673785371062467,0.00044740727484228894,0.0178821622825768
8,8,Sport,Sport,empirical_parent,empirical_parent,197664,7377,7377,7377,0.0373209082078678,0.0373209082078678,0.0373209082078678,1.0,1.0,1.0,26.794631964213092
8,9,Sport,Vehicle,empirical_parent,intermediate_or_crosscutting_parent,197664,7377,6008,630,0.0373209082078678,0.0303950137607252,0.0031872268091306,0.0854005693371289,0.1048601864181092,0.0493923951391611,2.8096901027720125
9,1,Vehicle,Lifestyle_(sociology),intermediate_or_crosscutting_parent,empirical_parent,197664,6008,95264,5926,0.0303950137607252,0.4819491662619394,0.0299801683665209,0.9863515312916112,0.0622060799462546,0.0621525811255847,2.0465883133316365
9,2,Vehicle,Entertainment,intermediate_or_crosscutting_parent,empirical_parent,197664,6008,68261,432,0.0303950137607252,0.3453385543143921,0.0021855269548324,0.0719041278295605,0.0063286503274197,0.0058507252461503,0.2082134384685584
9,3,Vehicle,Music,intermediate_or_crosscutting_parent,empirical_parent,197664,6008,43599,90,0.0303950137607252,0.2205712724623603,0.00045531811559009226,0.0149800266311584,0.0020642675290717,0.0018175576064785,0.0679146765756394
9,4,Vehicle,Video_game_culture,intermediate_or_crosscutting_parent,empirical_parent,197664,6008,24436,182,0.0303950137607252,0.1236239274728832,0.000920754411526631,0.0302929427430093,0.0074480275004092,0.0060141431498248,0.2450410965114664
9,5,Vehicle,Pop_music,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,6008,20419,9,0.0303950137607252,0.1033015622470455,4.5531811559009226e-05,0.0014980026631158,0.00044076595327880894,0.00034067681126504656,0.0145012585534125
9,6,Vehicle,Action_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,6008,15525,39,0.0303950137607252,0.0785423749392909,0.00019730451675570665,0.0064913448735019,0.0025120772946859,0.0018144598492602,0.0826476774928115
9,7,Vehicle,Role-playing_video_game,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,6008,14984,30,0.0303950137607252,0.0758054071555771,0.00015177270519669742,0.0049933422103861,0.0020021356113187,0.0014311611487453,0.0658705282083401
9,8,Vehicle,Sport,intermediate_or_crosscutting_parent,empirical_parent,197664,6008,7377,630,0.0303950137607252,0.0373209082078678,0.0031872268091306,0.1048601864181092,0.0854005693371289,0.0493923951391611,2.8096901027720125
9,9,Vehicle,Vehicle,intermediate_or_crosscutting_parent,intermediate_or_crosscutting_parent,197664,6008,6008,6008,0.0303950137607252,0.0303950137607252,0.0303950137607252,1.0,1.0,1.0,32.900133155792275
