rank,channel_id,channel_name_title,language_code,view_count_4wk,pct_total_4wk_views,original_canonical_slugs,original_display_families,original_display_leaves,revised_primary_canonical_slug,revised_primary_family,revised_primary_leaf,revised_primary_path,primary_tag_level,decision_type,non_primary_canonical_slugs,non_primary_display_paths_to_retain_as_metadata,suppressed_child_paths_because_family_is_better,needs_manual_review,manual_review_priority,decision_note
16,UCpR7UgOOg9wA869TzwTco9Q,Sierra and Rhia English,en,2818127707,0.12641068664792945,lifestyle; entertainment; hobby,Entertainment; Lifestyle,Hobby; [Entertainment] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,lifestyle; hobby,Lifestyle > [Lifestyle] - unspecified; Lifestyle > Hobby,Lifestyle > Hobby,True,high,Hobby is too narrow/weak; broad Entertainment is the better primary tag.
17,UC6cdivUil1UKmLwbuucdq3A,Happy L story ,en,2804620959,0.12580482436396712,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit among broad parent tags.
18,UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,eng,2788298944,0.1250726797139916,tv_shows; humor; entertainment; film,Entertainment,Humor; Movies; TV shows,tv_shows,Entertainment,TV shows,Entertainment > TV shows,child,child_tag_preferred,humor; entertainment; film,Entertainment > Humor; Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,TV shows is more specific and better overall than Film/Movies or Humor.
19,UCe6n0z9UbsxYCS8P83f84tw,Sierra & Rhia FAM,en,2775671685,0.12450626802274485,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,True,medium,Lifestyle is the better broad family fit among parent tags.
20,UCeyq053UMIMai-Htzfh5DaA,Akpenebrigittemon,en,2684157993,0.12040130549224191,humor; entertainment; film,Entertainment,Humor; Movies,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,Humor is the best available specific entertainment tag.
21,UCw5laSluKZol8QuE1fOToTQ,Kritika Channel,en,2535598377,0.11373747580841818,music; entertainment; lifestyle; music_of_asia,Entertainment; Lifestyle; Music,Music of Asia; [Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,music; entertainment; music_of_asia,Music > [Music] - unspecified; Entertainment > [Entertainment] - unspecified; Music > Music of Asia,Music > Music of Asia,True,high,Music of Asia appears weaker than the broad creator/lifestyle family tag.
22,UCZng8TYQxSMYuRS7CZd-nvg,VP Records,eng,2511334243,0.11264907735428192,entertainment; music; reggae; hip_hop_music,Entertainment; Music,Hip hop music; Reggae; [Entertainment] - unspecified,reggae,Music,Reggae,Music > Reggae,child,child_tag_preferred,entertainment; music; hip_hop_music,Entertainment > [Entertainment] - unspecified; Music > [Music] - unspecified; Music > Hip hop music,,False,low,Reggae is the best available specific music tag; Hip hop retained secondary.
23,UCNzmmbXIbMzlqE8nD1PBXfg,Dangal TV Channel,en,2359074364,0.1058192676882714,entertainment; tv_shows; film,Entertainment,Movies; TV shows,tv_shows,Entertainment,TV shows,Entertainment > TV shows,child,child_tag_preferred,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,TV shows is the better child tag than Film/Movies.
24,UC6qckL5flVmjnSuIWljr5Mg,魔女的契约,en-US,2348598372,0.10534935380227227,music; lifestyle; entertainment; hobby; music_of_asia,Entertainment; Lifestyle; Music,Hobby; Music of Asia; [Entertainment] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,music; lifestyle; hobby; music_of_asia,Music > [Music] - unspecified; Lifestyle > [Lifestyle] - unspecified; Lifestyle > Hobby; Music > Music of Asia,Lifestyle > Hobby; Music > Music of Asia,True,high,Hobby/Music of Asia are less reliable for overall placement than broad Entertainment.
25,UCE3kjt1mqvR6AlXWvUmkh1w,Keizo & Friends,id,2318508700,0.103999643464773,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit among broad parent tags.
26,UCfZyOJ8zBqKQMbiQ3Q8VXGA,Smiti Choudhury ,en,2184932969,0.09800793491541694,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
27,UClyw32fdzLCsqbkfzhdrtXA,Keshav Shashi Vlogs,en-IN,2151487539,0.09650769780372268,humor; lifestyle; entertainment; film,Entertainment; Lifestyle,Humor; Movies; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,humor; entertainment; film,Entertainment > Humor; Entertainment > [Entertainment] - unspecified; Entertainment > Movies,Entertainment > Humor; Entertainment > Movies,True,high,Vlog/lifestyle placement is better overall than Humor or Film/Movies.
28,UCT6zcE-d5Rlc2xto-1lNjgA,Diary of 4,en,2107030386,0.09451351591367461,lifestyle,Lifestyle,[Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,already_single_family,,,,False,low,Only broad Lifestyle tag is available.
29,UClBidZ3L6KW2cYOoh4-xEuQ,Misti Happy Lifestyle Games & Shorts,en-IN,2097853796,0.09410188834970541,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
30,UCsNKy80NFC6KawfN5ZGURTQ,Central Bureau of Communication,en,2093656011,0.09391359138823972,society; business,Society,Business,society,Society,[Society] - unspecified,Society > [Society] - unspecified,family,family_preferred_over_child,business,Society > Business,Society > Business,True,high,Business is too narrow/misleading; broad Society is the better available tag.
31,UCgAq9LRKx0NUSZ0ZtB3DWIg,Loveneet Valecha,hi,2072735689,0.09297518385534229,food; lifestyle,Lifestyle,Food,food,Lifestyle,Food,Lifestyle > Food,child,child_tag_preferred,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Food is the specific child tag under Lifestyle.
32,UCv7hVBHwEffL7BaJJdinokg,Koko & Golu,hi,2053232642,0.09210034998714213,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
33,UCPP3etACgdUWvizcES1dJ8Q,News18 India,hi,2030613841,0.0910857550280632,society,Society,[Society] - unspecified,society,Society,[Society] - unspecified,Society > [Society] - unspecified,family,already_single_family,,,,False,low,Only broad Society tag is available.
34,UCq8wSOMKwfqIhpVMdvYiZiQ,ام سيف Om sayf,ar,1998203452,0.08963194599100649,film; entertainment,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,high,Film/Movies is too narrow; broad Entertainment is the better primary tag.
35,UCbGPgvNunvclTypPtL3sa0w,BEN EAGLE,vi,1965370171,0.08815916759781835,film; entertainment,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,high,Film/Movies is too narrow; broad Entertainment is the better primary tag.
36,UCvz84_Q0BbvZThy75mbd-Dg,Zack D. Films,en,1922637043,0.08624231903212848,entertainment; lifestyle; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,lifestyle; film,Lifestyle > [Lifestyle] - unspecified; Entertainment > Movies,Entertainment > Movies,True,high,Film/Movies is too narrow; broad Entertainment is the better primary tag.
37,UCLLf6TqhloDo0UCNlhnEkPA,Cute Krashiv,en,1898392802,0.08515481290369599,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
38,UCqOM_3iLcX_xvt8U1B8PXcQ,Twin Twin,en,1877325188,0.08420979840163548,hobby; lifestyle,Lifestyle,Hobby,hobby,Lifestyle,Hobby,Lifestyle > Hobby,child,child_tag_preferred,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Hobby is the specific child tag under Lifestyle.
39,UCiJPC8Lp4jMn3OQQATYwXBA,Kaizen Editz,en,1836377378,0.08237303253542878,film; entertainment,Entertainment,Movies,film,Entertainment,Movies,Entertainment > Movies,child,child_tag_preferred,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Film/Movies is the best available specific tag.
40,UCYP8f_gWCI6vM6clHn9myRg,CurioVerse,en-IN,1833895446,0.08226170233291377,film; entertainment; lifestyle,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film; lifestyle,Entertainment > Movies; Lifestyle > [Lifestyle] - unspecified,Entertainment > Movies,True,high,Film/Movies is too narrow; broad Entertainment is the better primary tag.
41,UCceZjpzbbbrJWjnsU6aJzlw,Natkhat Maha,en-IN,1800445411,0.0807612586581136,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
42,UCOl4x1vXVvAmoo2WgvV2LYw,Arika's World,en,1798786843,0.08068686149037294,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
43,UCyGlHNYIsiXV47jUbvYA5DQ,Cool Items Official,en,1783931651,0.08002051304337304,lifestyle,Lifestyle,[Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,already_single_family,,,,False,low,Only broad Lifestyle tag is available.
44,UCiSykHvb83qqw6JqaHuWXRA,The Smily Fam,en,1779193970,0.07980799836320392,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
45,UCj-Y3qyis1oyXDtWGYHJU1Q,Ranwa Family,en,1758617755,0.0788850261855043,lifestyle; entertainment; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Lifestyle/family placement is better overall than Film/Movies.
46,UCUL9We-R1aCC3GAe-RvOx5g,The geeta gurjar,hi,1693375896,0.07595851998995756,film; lifestyle; entertainment,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,film; entertainment,Entertainment > Movies; Entertainment > [Entertainment] - unspecified,Entertainment > Movies,True,medium,Lifestyle is better overall than Film/Movies for primary placement.
47,UCcrusxbrV1SII8CBBTkfc_w,TripleY222 & Tarran D,en,1693324889,0.07595623200638683,humor; entertainment; performing_arts; music_of_asia,Entertainment; Music,Humor; Music of Asia; Performing arts,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,entertainment; performing_arts; music_of_asia,Entertainment > [Entertainment] - unspecified; Entertainment > Performing arts; Music > Music of Asia,,False,low,Humor is the best available specific entertainment tag.
48,UCh6fRy-wysxBdGdDFG2-k6g,Mister Ashum ,en-IN,1628166817,0.0730334841828173,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
49,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,eng,1626330160,0.07295109860748301,pop_music; music_of_asia; music,Music,Music of Asia; Pop music,music_of_asia,Music,Music of Asia,Music > Music of Asia,child,child_tag_preferred,pop_music; music,Music > Pop music; Music > [Music] - unspecified,,False,low,Music of Asia is the better primary music tag; Pop retained secondary.
50,UCRIWIquWdo_lquf4xfC4KEw,Gabriela Flores Villar,es,1609518009,0.07219696828661083,entertainment; humor; film,Entertainment,Humor; Movies,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,Humor is the best available specific entertainment tag.
51,UCukNqkkPLIBakMKNG-89Bmg,昕昕,en,1605929798,0.07203601453876578,lifestyle; entertainment; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,lifestyle; film,Lifestyle > [Lifestyle] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
52,UCXmseTCR4w5q36pupOJKegw,Chapitosiki,ru,1590876365,0.07136077374069552,pet; entertainment; lifestyle,Entertainment; Lifestyle; Other / Unmapped YouTube topic,Unmapped: pet; [Entertainment] - unspecified; [Lifestyle] - unspecified,pet,Other / Unmapped YouTube topic,Unmapped: pet,Other / Unmapped YouTube topic > Unmapped: pet,unmapped_specific,unmapped_specific_tag_preferred,entertainment; lifestyle,Entertainment > [Entertainment] - unspecified; Lifestyle > [Lifestyle] - unspecified,,False,low,Pet is the most specific available YouTube tag even though it is currently unmapped.
53,UC5NE6lZOCLMerHHxH80dABg,V5 Family Show,en,1582526844,0.07098624540396697,entertainment; humor; lifestyle,Entertainment; Lifestyle,Humor; [Lifestyle] - unspecified,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,entertainment; lifestyle,Entertainment > [Entertainment] - unspecified; Lifestyle > [Lifestyle] - unspecified,,False,low,Humor is the best available specific entertainment tag.
54,UC6c6cGUhx3SHnlTtqUBuhyg,Hit Pause,en,1574307679,0.07061756435067693,,Unlabeled,No YouTube topicCategories,,Unlabeled,No YouTube topicCategories,Unlabeled > No YouTube topicCategories,none,no_topic_categories,,,,False,low,No YouTube topicCategories are available.
55,UCd56a0h30H_M-ijkde5GVuA,FatSongsong and ThinErmao,en,1529313642,0.06859929984899928,film; humor; entertainment; lifestyle; food,Entertainment; Lifestyle,Food; Humor; Movies,food,Lifestyle,Food,Lifestyle > Food,child,child_tag_preferred,film; humor; entertainment; lifestyle,Entertainment > Movies; Entertainment > Humor; Entertainment > [Entertainment] - unspecified; Lifestyle > [Lifestyle] - unspecified,,False,low,Food is the best available specific tag; Humor/Film retained secondary.
56,UChiDw4_qOY15yjCNxzWt06g,edwin agung,id,1528096175,0.06854468882514152,film; entertainment; lifestyle,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film; lifestyle,Entertainment > Movies; Lifestyle > [Lifestyle] - unspecified,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
57,UC0MwpcPTF8IYX_KKRt8fXmA,Pinki Prajapati,en,1496010393,0.06710544044609147,performing_arts; music_of_asia; entertainment; lifestyle; music,Entertainment; Lifestyle; Music,Music of Asia; Performing arts; [Lifestyle] - unspecified,performing_arts,Entertainment,Performing arts,Entertainment > Performing arts,child,child_tag_preferred,music_of_asia; entertainment; lifestyle; music,Music > Music of Asia; Entertainment > [Entertainment] - unspecified; Lifestyle > [Lifestyle] - unspecified; Music > [Music] - unspecified,,False,low,Performing arts is the best available specific entertainment tag.
58,UCbM0p--1zokYAxOvt7N-iKA,Zidvano Movies,en-US,1485615517,0.06663916512098247,film; entertainment; tv_shows,Entertainment,Movies; TV shows,film,Entertainment,Movies,Entertainment > Movies,child,child_tag_preferred,entertainment; tv_shows,Entertainment > [Entertainment] - unspecified; Entertainment > TV shows,,False,low,Film/Movies is the best available specific tag; TV shows retained secondary.
59,UC45pg1clkq6SqRLQlxxbJ4w,The Advika Sharma,hi,1458033048,0.06540191854870171,lifestyle,Lifestyle,[Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,already_single_family,,,,False,low,Only broad Lifestyle tag is available.
60,UCCczaXpIkXAn1Tl-HODH-PA,Krishna Avyu,en,1456814892,0.06534727661887652,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
61,UCYQo8CdhXD22qfwUBUw591Q,El Payaso Plim Plim,iberian_romance_review_cluster,1449284678,0.0650094993350503,film; music; entertainment,Entertainment; Music,Movies; [Music] - unspecified,music,Music,[Music] - unspecified,Music > [Music] - unspecified,family,family_preferred_over_child,film; entertainment,Entertainment > Movies; Entertainment > [Entertainment] - unspecified,Entertainment > Movies,True,medium,Broad Music is a better available tag than Film/Movies for primary placement.
62,UCLGHEUaREx_FtNrqfJ8gXIA,Box Of Vengeance,en,1440597549,0.06461982716399807,technology; entertainment; lifestyle,Entertainment; Lifestyle,Technology; [Entertainment] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,technology; entertainment,Lifestyle > Technology; Entertainment > [Entertainment] - unspecified,Lifestyle > Technology,True,medium,Technology is too narrow/misaligned; broad Lifestyle is the better primary tag.
63,UCuXW0BjSpj8G-L4xW46391g,The useless cousin,en,1439539867,0.06457238349863718,entertainment; lifestyle; music_of_asia; music,Entertainment; Lifestyle; Music,Music of Asia; [Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,lifestyle; music_of_asia; music,Lifestyle > [Lifestyle] - unspecified; Music > Music of Asia; Music > [Music] - unspecified,Music > Music of Asia,True,medium,Music of Asia is less reliable for overall placement than broad Entertainment.
64,UCcO3pf47GO1rxL4tlWEs5Ow,Giuliana Mafra,pt,1422439055,0.06380530492310366,film; entertainment; lifestyle,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film; lifestyle,Entertainment > Movies; Lifestyle > [Lifestyle] - unspecified,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
65,UCKV1tnE1MSeKxFz0aPcgzZg,nurrayni25,id,1413602529,0.06340893136044796,entertainment; film,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
66,UC7Df2A2cpM3DOvaqRnLkaVw,Unfiltered Mizo,en,1409122117,0.06320795680703124,lifestyle; entertainment; pet,Entertainment; Lifestyle; Other / Unmapped YouTube topic,Unmapped: pet; [Entertainment] - unspecified; [Lifestyle] - unspecified,pet,Other / Unmapped YouTube topic,Unmapped: pet,Other / Unmapped YouTube topic > Unmapped: pet,unmapped_specific,unmapped_specific_tag_preferred,lifestyle; entertainment,Lifestyle > [Lifestyle] - unspecified; Entertainment > [Entertainment] - unspecified,,False,low,Pet is the most specific available YouTube tag even though it is currently unmapped.
